CODIGO_LINHA;NOME_LINHA;NOME_ITINERARIO;CODIGO_PARADA;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE;ORDEM_TPR;ORDEM_PRT
645;Av. Norte (Macaxeira);Principal;110041;Avenida Norte;Mangabeira;-8 1 28.47;-34 54 35.26;0;23
645;Av. Norte (Macaxeira);Principal;110042;Avenida Norte;Casa Amarela;-8 1 24.00;-34 54 47.77;0;24
645;Av. Norte (Macaxeira);Principal;110043;Avenida Norte;Casa Amarela;-8 1 20.47;-34 54 53.50;0;25
645;Av. Norte (Macaxeira);Principal;110044;Avenida Norte;Casa Amarela;-8 1 17.05;-34 55 0.70;0;26
645;Av. Norte (Macaxeira);Principal;110045;Avenida Norte;Casa Amarela;-8 1 15.46;-34 55 12.06;0;27
645;Av. Norte (Macaxeira);Principal;110046;Avenida Norte;Casa Amarela;-8  1 13.92;-34 55 25.45;0;28
645;Av. Norte (Macaxeira);Principal;110047;Avenida Norte;Casa Amarela;-8 1 12.29;-34 55 34.17;0;29
645;Av. Norte (Macaxeira);Principal;110048;Avenida Norte;Macaxeira;-8.018380;-34.928147;0;30
645;Av. Norte (Macaxeira);Principal;110049;Avenida Norte;Macaxeira;-8.016513;-34.929774;0;31
645;Av. Norte (Macaxeira);Principal;110050;Avenida Norte;Macaxeira;-8.014312;-34.931401;0;32
645;Av. Norte (Macaxeira);Principal;110051;Avenida Norte;Macaxeira;-8.011970;-34.933059;0;33
645;Av. Norte (Macaxeira);Principal;110052;Avenida Norte;Macaxeira;-8.009838;-34.935847;0;34
624;Brejo;Principal;000001;Avenida Vereador Otacílio Azevedo;Linha do Tiro;-8.007138;-34.912208;1;0
624;Brejo;Principal;000002;Avenida Vereador Otacílio Azevedo;Vasco da Gama;-8.006059;-34.913800;2;0
624;Brejo;Principal;000003;Avenida Vereador Otacílio Azevedo;Vasco da Gama;-8.005238;-34.915269;3;0
624;Brejo;Principal;000004;Avenida Vereador Otacílio Azevedo;Vasco da Gama;-8.003571;-34.917575;4;0
624;Brejo;Principal;000005;Avenida Vereador Otacílio Azevedo;Vasco da Gama;-8.002126;-34.919731;5;0
624;Brejo;Principal;000006;Rua Nova Descoberta;Nova Descoberta;-8.000691;-34.922777;6;0
624;Brejo;Principal;000007;Rua Nova Descoberta;Nova Descoberta;-8.001523;-34.923718;7;0
624;Brejo;Principal;000008;Rua Nova Descoberta;Nova Descoberta;-8.002371;-34.923665;8;0
624;Brejo;Principal;000009;Rua Nova Descoberta;Nova Descoberta;-8.003392;-34.923368;9;0
624;Brejo;Principal;000010;Rua Vasco da Gama;Vasco da Gama;-8.005857;-34.921430;10;0
624;Brejo;Principal;000011;Rua Vasco da Gama;Vasco da Gama;-8.007789;-34.920900;11;0
624;Brejo;Principal;000012;Rua Vasco da Gama;Vasco da Gama;-8.010110;-34.920628;12;0
624;Brejo;Principal;000013;Rua Vasco da Gama;Vasco da Gama;-8.012365;-34.920169;13;0
624;Brejo;Principal;000014;Rua Vasco da Gama;Vasco da Gama;-8.013603;-34.920098;14;0
624;Brejo;Principal;000015;Rua Vasco da Gama;Vasco da Gama;-8.015612;-34.920212;15;0
624;Brejo;Principal;000016;Rua Vasco da Gama;Vasco da Gama;-8.016438;-34.920853;16;0
624;Brejo;Principal;000017;Rua Vasco da Gama;Vasco da Gama;-8.017865;-34.921577;17;0
624;Brejo;Principal;000018;Rua Vasco da Gama;Vasco da Gama;-8.019926;-34.921537;18;0
624;Brejo;Principal;110008;Avenida Norte;Casa Amarela;-8 1 15.92;-34 55 13.32;19;0
624;Brejo;Principal;110009;Avenida Norte;Casa Amarela;-8 1 16.68;-34 55 4.79;20;0
624;Brejo;Principal;110010;Avenida Norte;Casa Amarela;-8 1 20.87;-34 54 54.01;21;0
624;Brejo;Principal;110011;Avenida Norte;Casa Amarela;-8 1 23.90;-34 54 49.12;22;0
624;Brejo;Principal;110012;Avenida Norte;Casa Amarela;-8 1 28.57;-34 54 37.45;23;0
624;Brejo;Principal;110013;Avenida Norte;Casa Amarela;-8 1 32.07;-34 54 24.76;24;0
624;Brejo;Principal;110014;Avenida Norte;Tamarineira;-8 1 38.13;-34 54 14.77;25;0
624;Brejo;Principal;110015;Avenida Norte;Tamarineira;-8 1 45.39;-34 54 4.16;26;0
624;Brejo;Principal;110016;Avenida Norte;Tamarineira;-8 1 50.21;-34 53 57.18;27;0
624;Brejo;Principal;110017;Avenida Norte;Rosarinho;-8 1 56.91;-34 53 50.18;28;0
624;Brejo;Principal;110018;Avenida Norte;Encruzilhada;-8 2 5.58;-34 53 44.89;29;0
624;Brejo;Principal;110019;Avenida Norte;Encruzilhada;-8 2 17.29;-34 53 35.10;30;0
624;Brejo;Principal;000019;Rua Conselheiro Portela;Aflitos;-8.040803;-34.893352;31;0
624;Brejo;Principal;000020;Rua Quarenta e Oito;Espinheiro;-8.041947;-34.893237;32;0
624;Brejo;Principal;000021;Rua da Hora;Espinheiro;-8.045204;-34.893848;33;0
624;Brejo;Principal;000022;Avenida Governador Agamenon Magalhães;Espinheiro;-8.048342;-34.892939;34;0
624;Brejo;Principal;000023;Avenida Governador Agamenon Magalhães;Graças;-8.050102;-34.894332;35;0
624;Brejo;Principal;000024;Avenida Governador Agamenon Magalhães;Graças;-8.052047;-34.895791;36;0
624;Brejo;Principal;000025;Avenida Governador Agamenon Magalhães;Derby;-8.054644;-34.897796;37;0
624;Brejo;Principal;000025;Avenida Governador Agamenon Magalhães;Derby;-8.057082;-34.898273;38;0
624;Brejo;Principal;000026;Rua Amauri de Medeiros;Derby;-8.058266;-34.898577;39;0
624;Brejo;Principal;000027;Praça do Derby;Derby;-8.056795;-34.898663;40;0
624;Brejo;Principal;000028;Avenida Conde da Boa Vista;Boa Vista;-8.056136;-34.894629;41;0
624;Brejo;Principal;000029;Avenida Conde da Boa Vista;Boa Vista;-8.057468;-34.890602;42;0
624;Brejo;Principal;000030;Avenida Conde da Boa Vista;Boa Vista;-8.059387;-34.887031;43;0
624;Brejo;Principal;000031;Avenida Conde da Boa Vista;Boa Vista;-8.061133;-34.883650;44;0
624;Brejo;Principal;000032;Rua Floriano Peixoto;Santo Atônio;-8.064811;-34.881804;45;0
624;Brejo;Principal;000032;Rua Floriano Peixoto;São José;-8.068516;-34.883880;46;0
624;Brejo;Principal;000033;Rua do Peixoto;São José;-8.070635;-34.884447;47;0
624;Brejo;Principal;000034;Praça Frei Caneca;São José;-8.072381;-34.881366;48;0
624;Brejo;Principal;000035;Terminal Cais de Santa Rita;São José;-8.068946;-34.874858;49;1
624;Brejo;Principal;000036;Rua 1º de Março;Santo Antônio;-8.064190;-34.877227;0;2
624;Brejo;Principal;000037;Avenida Guararapes;Santo Antônio;-8.062755;-34.880081;0;3
624;Brejo;Principal;000038;Avenida Conde da Boa Vista;Boa Vista;-8.060866;-34.883668;0;4
